shana|hodesh|train_station_nm|station_status_nm|status_count
"2015"|"1"|"אשדוד עד הלום"|"איחור"|"33"
"2015"|"1"|"אשדוד עד הלום"|"בזמן"|"1625"
"2015"|"1"|"אשדוד עד הלום"|"הקדמה ביציאה"|"17"
"2015"|"1"|"אשקלון"|"איחור"|"34"
"2015"|"1"|"אשקלון"|"בזמן"|"1873"
"2015"|"1"|"אשקלון"|"הקדמה ביציאה"|"7"
"2015"|"1"|"באר יעקב"|"איחור"|"25"
"2015"|"1"|"באר יעקב"|"בזמן"|"1078"
"2015"|"1"|"באר יעקב"|"הקדמה ביציאה"|"42"
"2015"|"1"|"באר שבע מרכז"|"איחור"|"62"
"2015"|"1"|"באר שבע מרכז"|"בזמן"|"1088"
"2015"|"1"|"באר שבע מרכז"|"הקדמה ביציאה"|"1"
"2015"|"1"|"באר שבע צפון"|"איחור"|"65"
"2015"|"1"|"באר שבע צפון"|"בזמן"|"1188"
"2015"|"1"|"באר שבע צפון"|"הקדמה ביציאה"|"21"
"2015"|"1"|"בית יהושע"|"איחור"|"74"
"2015"|"1"|"בית יהושע"|"בזמן"|"1854"
"2015"|"1"|"בית יהושע"|"הקדמה ביציאה"|"50"
"2015"|"1"|"בית שמש"|"איחור"|"64"
"2015"|"1"|"בית שמש"|"בזמן"|"375"
"2015"|"1"|"בית שמש"|"הקדמה ביציאה"|"19"
"2015"|"1"|"בני ברק"|"איחור"|"17"
"2015"|"1"|"בני ברק"|"בזמן"|"1482"
"2015"|"1"|"בני ברק"|"הקדמה ביציאה"|"103"
"2015"|"1"|"בנימינה"|"איחור"|"165"
"2015"|"1"|"בנימינה"|"בזמן"|"2164"
"2015"|"1"|"בנימינה"|"הקדמה ביציאה"|"329"
"2015"|"1"|"בת גלים"|"איחור"|"162"
"2015"|"1"|"בת גלים"|"בזמן"|"3058"
"2015"|"1"|"בת גלים"|"הקדמה ביציאה"|"263"
"2015"|"1"|"בת ים יוספטל"|"איחור"|"22"
"2015"|"1"|"בת ים יוספטל"|"בזמן"|"977"
"2015"|"1"|"בת ים יוספטל"|"הקדמה ביציאה"|"61"
"2015"|"1"|"בת ים קוממיות"|"איחור"|"20"
"2015"|"1"|"בת ים קוממיות"|"בזמן"|"1133"
"2015"|"1"|"בת ים קוממיות"|"הקדמה ביציאה"|"11"
"2015"|"1"|"דימונה"|"איחור"|"7"
"2015"|"1"|"דימונה"|"בזמן"|"118"
"2015"|"1"|"הוד השרון"|"איחור"|"16"
"2015"|"1"|"הוד השרון"|"בזמן"|"1146"
"2015"|"1"|"הוד השרון"|"הקדמה ביציאה"|"2"
"2015"|"1"|"הרצליה"|"איחור"|"132"
"2015"|"1"|"הרצליה"|"בזמן"|"2337"
"2015"|"1"|"הרצליה"|"הקדמה ביציאה"|"133"
"2015"|"1"|"חדרה מערב"|"איחור"|"75"
"2015"|"1"|"חדרה מערב"|"בזמן"|"1175"
"2015"|"1"|"חדרה מערב"|"הקדמה ביציאה"|"169"
"2015"|"1"|"חולון וולפסון"|"איחור"|"21"
"2015"|"1"|"חולון וולפסון"|"בזמן"|"1216"
"2015"|"1"|"חולון וולפסון"|"הקדמה ביציאה"|"5"
"2015"|"1"|"חוף הכרמל"|"איחור"|"186"
"2015"|"1"|"חוף הכרמל"|"בזמן"|"3097"
"2015"|"1"|"חוף הכרמל"|"הקדמה ביציאה"|"316"
"2015"|"1"|"חוצות מפרץ"|"איחור"|"48"
"2015"|"1"|"חוצות מפרץ"|"בזמן"|"1140"
"2015"|"1"|"חוצות מפרץ"|"הקדמה ביציאה"|"88"
"2015"|"1"|"חיפה מרכז"|"איחור"|"176"
"2015"|"1"|"חיפה מרכז"|"בזמן"|"3221"
"2015"|"1"|"חיפה מרכז"|"הקדמה ביציאה"|"305"
"2015"|"1"|"יבנה מזרח"|"איחור"|"16"
"2015"|"1"|"יבנה מזרח"|"בזמן"|"340"
"2015"|"1"|"יבנה מזרח"|"הקדמה ביציאה"|"254"
"2015"|"1"|"יבנה מערב"|"איחור"|"14"
"2015"|"1"|"יבנה מערב"|"בזמן"|"945"
"2015"|"1"|"יבנה מערב"|"הקדמה ביציאה"|"14"
"2015"|"1"|"כפר חבד"|"איחור"|"18"
"2015"|"1"|"כפר חבד"|"בזמן"|"731"
"2015"|"1"|"כפר חבד"|"הקדמה ביציאה"|"6"
"2015"|"1"|"כפר סבא"|"איחור"|"24"
"2015"|"1"|"כפר סבא"|"בזמן"|"1598"
"2015"|"1"|"כפר סבא"|"הקדמה ביציאה"|"5"
"2015"|"1"|"לא ידוע קוד 6500"|"איחור"|"4"
"2015"|"1"|"לא ידוע קוד 6500"|"בזמן"|"129"
"2015"|"1"|"לא ידוע קוד 6500"|"הקדמה ביציאה"|"43"
"2015"|"1"|"לא ידוע קוד 6700"|"איחור"|"9"
"2015"|"1"|"לא ידוע קוד 6700"|"בזמן"|"306"
"2015"|"1"|"לא ידוע קוד 800"|"איחור"|"123"
"2015"|"1"|"לא ידוע קוד 800"|"בזמן"|"1950"
"2015"|"1"|"לא ידוע קוד 800"|"הקדמה ביציאה"|"984"
"2015"|"1"|"להבים רהט"|"איחור"|"39"
"2015"|"1"|"להבים רהט"|"בזמן"|"825"
"2015"|"1"|"להבים רהט"|"הקדמה ביציאה"|"32"
"2015"|"1"|"לוד"|"איחור"|"147"
"2015"|"1"|"לוד"|"בזמן"|"3606"
"2015"|"1"|"לוד"|"הקדמה ביציאה"|"78"
"2015"|"1"|"לוד גני אביב"|"איחור"|"21"
"2015"|"1"|"לוד גני אביב"|"בזמן"|"440"
"2015"|"1"|"לוד גני אביב"|"הקדמה ביציאה"|"332"
"2015"|"1"|"מודיעין מרכז"|"איחור"|"36"
"2015"|"1"|"מודיעין מרכז"|"בזמן"|"1432"
"2015"|"1"|"מודיעין מרכז"|"הקדמה ביציאה"|"1"
"2015"|"1"|"מרכזית מפרץ-חוף"|"איחור"|"113"
"2015"|"1"|"מרכזית מפרץ-חוף"|"בזמן"|"2199"
"2015"|"1"|"מרכזית מפרץ-חוף"|"הקדמה ביציאה"|"550"
"2015"|"1"|"נהרייה"|"איחור"|"89"
"2015"|"1"|"נהרייה"|"בזמן"|"2011"
"2015"|"1"|"נהרייה"|"הקדמה ביציאה"|"1"
"2015"|"1"|"נתב"ג"|"איחור"|"61"
"2015"|"1"|"נתב"ג"|"בזמן"|"1628"
"2015"|"1"|"נתב"ג"|"הקדמה ביציאה"|"201"
"2015"|"1"|"נתניה"|"איחור"|"87"
"2015"|"1"|"נתניה"|"בזמן"|"2040"
"2015"|"1"|"נתניה"|"הקדמה ביציאה"|"145"
"2015"|"1"|"סגולה"|"איחור"|"15"
"2015"|"1"|"סגולה"|"בזמן"|"1679"
"2015"|"1"|"סגולה"|"הקדמה ביציאה"|"3"
"2015"|"1"|"עכו"|"איחור"|"107"
"2015"|"1"|"עכו"|"בזמן"|"2262"
"2015"|"1"|"עכו"|"הקדמה ביציאה"|"193"
"2015"|"1"|"עתלית"|"איחור"|"40"
"2015"|"1"|"עתלית"|"בזמן"|"600"
"2015"|"1"|"עתלית"|"הקדמה ביציאה"|"161"
"2015"|"1"|"פאתי מודיעין"|"איחור"|"35"
"2015"|"1"|"פאתי מודיעין"|"בזמן"|"1274"
"2015"|"1"|"פאתי מודיעין"|"הקדמה ביציאה"|"252"
"2015"|"1"|"צומת חולון"|"איחור"|"20"
"2015"|"1"|"צומת חולון"|"בזמן"|"1126"
"2015"|"1"|"צומת חולון"|"הקדמה ביציאה"|"65"
"2015"|"1"|"קיסריה פרדס חנה"|"איחור"|"60"
"2015"|"1"|"קיסריה פרדס חנה"|"בזמן"|"840"
"2015"|"1"|"קיסריה פרדס חנה"|"הקדמה ביציאה"|"171"
"2015"|"1"|"קרית אריה"|"איחור"|"63"
"2015"|"1"|"קרית אריה"|"בזמן"|"12"
"2015"|"1"|"קרית אריה"|"הקדמה ביציאה"|"924"
"2015"|"1"|"קרית גת"|"איחור"|"53"
"2015"|"1"|"קרית גת"|"בזמן"|"1095"
"2015"|"1"|"קרית גת"|"הקדמה ביציאה"|"14"
"2015"|"1"|"קרית חיים"|"איחור"|"79"
"2015"|"1"|"קרית חיים"|"בזמן"|"1303"
"2015"|"1"|"קרית חיים"|"הקדמה ביציאה"|"401"
"2015"|"1"|"ראש העין צפון"|"איחור"|"20"
"2015"|"1"|"ראש העין צפון"|"בזמן"|"1615"
"2015"|"1"|"ראש העין צפון"|"הקדמה ביציאה"|"5"
"2015"|"1"|"ראשונים"|"איחור"|"13"
"2015"|"1"|"ראשונים"|"בזמן"|"669"
"2015"|"1"|"ראשונים"|"הקדמה ביציאה"|"1"
"2015"|"1"|"רחובות"|"איחור"|"37"
"2015"|"1"|"רחובות"|"בזמן"|"1328"
"2015"|"1"|"רחובות"|"הקדמה ביציאה"|"45"
"2015"|"1"|"רמלה"|"איחור"|"81"
"2015"|"1"|"רמלה"|"בזמן"|"553"
"2015"|"1"|"רמלה"|"הקדמה ביציאה"|"698"
"2015"|"1"|"רשל"צ משה דיין"|"איחור"|"26"
"2015"|"1"|"רשל"צ משה דיין"|"בזמן"|"1427"
"2015"|"1"|"רשל"צ משה דיין"|"הקדמה ביציאה"|"3"
"2015"|"1"|"שדרות"|"איחור"|"10"
"2015"|"1"|"שדרות"|"בזמן"|"933"
"2015"|"1"|"שדרות"|"הקדמה ביציאה"|"26"
"2015"|"1"|"תא אוניברסיטה"|"איחור"|"260"
"2015"|"1"|"תא אוניברסיטה"|"בזמן"|"5942"
"2015"|"1"|"תא אוניברסיטה"|"הקדמה ביציאה"|"254"
"2015"|"1"|"תל אביב ההגנה"|"איחור"|"278"
"2015"|"1"|"תל אביב ההגנה"|"בזמן"|"6504"
"2015"|"1"|"תל אביב ההגנה"|"הקדמה ביציאה"|"366"
"2015"|"1"|"תל אביב השלום"|"איחור"|"311"
"2015"|"1"|"תל אביב השלום"|"בזמן"|"6221"
"2015"|"1"|"תל אביב השלום"|"הקדמה ביציאה"|"332"
"2015"|"1"|"תל אביב מרכז"|"איחור"|"368"
"2015"|"1"|"תל אביב מרכז"|"בזמן"|"5577"
"2015"|"1"|"תל אביב מרכז"|"הקדמה ביציאה"|"883"
"2015"|"2"|"אשדוד עד הלום"|"איחור"|"15"
